species,growth,region
ACR_Acropora_abrolhosensis,branching_open,0
ACR_Acropora_abrotanoides,branching_open,0
ACR_Acropora_aculeus,corymbose,0
ACR_Acropora_acuminata,branching_open,0
ACR_Acropora_akajimensis,branching_closed,0
ACR_Acropora_anthocercis,tables_or_plates,0
ACR_Acropora_appressa,corymbose,0
ACR_Acropora_arabensis,digitate,0
ACR_Acropora_aspera,branching_open,0
ACR_Acropora_austera,branching_open,0
ACR_Acropora_awi,hispidose,0
ACR_Acropora_batunai,tables_or_plates,0
ACR_Acropora_bifurcata,tables_or_plates,0
ACR_Acropora_branchi,tables_or_plates,0
ACR_Acropora_bushyensis,digitate,0
ACR_Acropora_cardenae,branching_open,0
ACR_Acropora_carduus,hispidose,0
ACR_Acropora_caroliniana,tables_or_plates,0
ACR_Acropora_cerealis,corymbose,0
ACR_Acropora_cervicornis,branching_open,1
ACR_Acropora_chesterfieldensis,branching_closed,0
ACR_Acropora_clathrata,tables_or_plates,0
ACR_Acropora_convexa,corymbose,0
ACR_Acropora_cophodactyla,digitate,0
ACR_Acropora_copiosa,branching_open,0
ACR_Acropora_cytherea,tables_or_plates,0
ACR_Acropora_dendrum,corymbose,0
ACR_Acropora_derawanensis,branching_open,0
ACR_Acropora_desalwii,corymbose,0
ACR_Acropora_digitifera,digitate,0
ACR_Acropora_divaricata,tables_or_plates,0
ACR_Acropora_donei,branching_open,0
ACR_Acropora_downingi,tables_or_plates,0
ACR_Acropora_echinata,hispidose,0
ACR_Acropora_efflorescens,tables_or_plates,0
ACR_Acropora_elegans,tables_or_plates,0
ACR_Acropora_elegantula,branching_closed,0
ACR_Acropora_elseyi,hispidose,0
ACR_Acropora_exquisita,branching_closed,0
ACR_Acropora_fastigata,branching_closed,0
ACR_Acropora_fenneri,branching_open,0
ACR_Acropora_filiformis,branching_open,0
ACR_Acropora_florida,branching_open,0
ACR_Acropora_forskali,branching_open,0
ACR_Acropora_gemmifera,digitate,0
ACR_Acropora_glauca,tables_or_plates,0
ACR_Acropora_globiceps,digitate,0
ACR_Acropora_gomezi,branching_open,0
ACR_Acropora_grandis,branching_open,0
ACR_Acropora_granulosa,tables_or_plates,0
ACR_Acropora_haimei,branching_closed,0
ACR_Acropora_halmaherae,branching_open,0
ACR_Acropora_hemprichii,branching_open,0
ACR_Acropora_hoeksemai,branching_open,0
ACR_Acropora_horrida,branching_closed,0
ACR_Acropora_humilis,digitate,0
ACR_Acropora_hyacinthus,tables_or_plates,0
ACR_Acropora_indonesia,branching_open,0
ACR_Acropora_inermis,branching_closed,0
ACR_Acropora_insignis,branching_closed,0
ACR_Acropora_intermedia,branching_open,0
ACR_Acropora_irregularis,branching_open,0
ACR_Acropora_jacquelineae,tables_or_plates,0
ACR_Acropora_japonica,tables_or_plates,0
ACR_Acropora_khayranensis,tables_or_plates,0
ACR_Acropora_kimbeensis,branching_closed,0
ACR_Acropora_kirstyae,branching_closed,0
ACR_Acropora_kosurini,branching_open,0
ACR_Acropora_lamarcki,tables_or_plates,0
ACR_Acropora_latistella,corymbose,0
ACR_Acropora_lianae,branching_closed,0
ACR_Acropora_listeri,branching_closed,0
ACR_Acropora_loisetteae,branching_open,0
ACR_Acropora_lokani,branching_closed,0
ACR_Acropora_longicyathus,hispidose,0
ACR_Acropora_loripes,corymbose,0
ACR_Acropora_lovelli,branching_open,0
ACR_Acropora_lutkeni,branching_open,0
ACR_Acropora_macrostoma,corymbose,0
ACR_Acropora_maryae,branching_closed,0
ACR_Acropora_massawensis,digitate,0
ACR_Acropora_microclados,corymbose,0
ACR_Acropora_microphthalma,branching_open,0
ACR_Acropora_millepora,corymbose,0
ACR_Acropora_minuta,encrusting,0
ACR_Acropora_mirabilis,corymbose,0
ACR_Acropora_monticulosa,digitate,0
ACR_Acropora_multiacuta,branching_closed,0
ACR_Acropora_muricata,branching_open,0
ACR_Acropora_nana,branching_closed,0
ACR_Acropora_nasuta,corymbose,0
ACR_Acropora_natalensis,tables_or_plates,0
ACR_Acropora_navini,hispidose,0
ACR_Acropora_ocellata,digitate,0
ACR_Acropora_orbicularis,tables_or_plates,0
ACR_Acropora_pagoensis,branching_closed,0
ACR_Acropora_palmata,branching_open,1
ACR_Acropora_palmerae,encrusting,0
ACR_Acropora_paniculata,tables_or_plates,0
ACR_Acropora_papillare,branching_open,0
ACR_Acropora_paragemmifera,digitate,0
ACR_Acropora_parahemprichii,branching_closed,0
ACR_Acropora_parapharaonis,tables_or_plates,0
ACR_Acropora_parilis,branching_closed,0
ACR_Acropora_pectinatus,branching_closed,0
ACR_Acropora_pharaonis,tables_or_plates,0
ACR_Acropora_pichoni,tables_or_plates,0
ACR_Acropora_pinguis,branching_open,0
ACR_Acropora_plana,tables_or_plates,0
ACR_Acropora_plantaginea,corymbose,0
ACR_Acropora_plumosa,tables_or_plates,0
ACR_Acropora_polystoma,corymbose,0
ACR_Acropora_prostrata,corymbose,0
ACR_Acropora_proximalis,branching_closed,0
ACR_Acropora_pruinosa,branching_closed,0
ACR_Acropora_pulchra,branching_open,0
ACR_Acropora_rambleri,tables_or_plates,0
ACR_Acropora_retusa,digitate,0
ACR_Acropora_ridzwani,tables_or_plates,0
ACR_Acropora_robusta,branching_open,0
ACR_Acropora_rongelapensis,tables_or_plates,0
ACR_Acropora_rosaria,corymbose,0
ACR_Acropora_roseni,branching_open,0
ACR_Acropora_rudis,branching_open,0
ACR_Acropora_rufus,branching_closed,0
ACR_Acropora_russelli,branching_closed,0
ACR_Acropora_samoensis,digitate,0
ACR_Acropora_sarmentosa,corymbose,0
ACR_Acropora_scherzeriana,branching_open,0
ACR_Acropora_schmitti,branching_open,0
ACR_Acropora_secale,branching_closed,0
ACR_Acropora_sekiseiensis,branching_closed,0
ACR_Acropora_selago,corymbose,0
ACR_Acropora_seriata,tables_or_plates,0
ACR_Acropora_simplex,tables_or_plates,0
ACR_Acropora_sirikitiae,branching_open,0
ACR_Acropora_solitaryensis,tables_or_plates,0
ACR_Acropora_spathulata,corymbose,0
ACR_Acropora_speciosa,corymbose,0
ACR_Acropora_spicifera,tables_or_plates,0
ACR_Acropora_squarrosa,branching_closed,0
ACR_Acropora_stoddarti,tables_or_plates,0
ACR_Acropora_striata,branching_closed,0
ACR_Acropora_subglabra,hispidose,0
ACR_Acropora_subulata,tables_or_plates,0
ACR_Acropora_suharsonoi,corymbose,0
ACR_Acropora_sukarnoi,tables_or_plates,0
ACR_Acropora_tanegashimensis,tables_or_plates,0
ACR_Acropora_tenella,tables_or_plates,0
ACR_Acropora_tenuis,corymbose,0
ACR_Acropora_teres,branching_open,0
ACR_Acropora_tizardi,branching_closed,0
ACR_Acropora_torihalimeda,branching_closed,0
ACR_Acropora_torresiana,branching_closed,0
ACR_Acropora_tortuosa,branching_closed,0
ACR_Acropora_tumida,branching_closed,0
ACR_Acropora_turaki,hispidose,0
ACR_Acropora_tutuilensis,branching_open,0
ACR_Acropora_valenciennesi,branching_open,0
ACR_Acropora_valida,corymbose,0
ACR_Acropora_variabilis,branching_closed,0
ACR_Acropora_variolosa,branching_open,0
ACR_Acropora_vaughani,branching_closed,0
ACR_Acropora_vermiculata,corymbose,0
ACR_Acropora_verweyi,corymbose,0
ACR_Acropora_walindii,branching_open,0
ACR_Acropora_wallaceae,branching_closed,0
ACR_Acropora_willisae,corymbose,0
ACR_Acropora_yongei,branching_closed,0
ACR_Astreopora_expansa,outgroup,0